국가별,시점,평균근로자세금
유럽,2014,
유럽,2015,
유럽,2016,
유럽,2017,
유럽,2018,
유럽,2019,
유럽,2020,
오스트리아,2000,47.3
오스트리아,2001,46.9
오스트리아,2002,47.1
오스트리아,2003,47.4
오스트리아,2004,48.3
오스트리아,2005,48.1
오스트리아,2006,48.5
오스트리아,2007,48.8
오스트리아,2008,49
오스트리아,2009,47.9
오스트리아,2010,48.2
오스트리아,2011,48.5
오스트리아,2012,48.8
오스트리아,2013,49.2
오스트리아,2014,49.4
오스트리아,2015,49.6
오스트리아,2016,47.3
오스트리아,2017,47.4
오스트리아,2018,47.6
오스트리아,2019,47.9
오스트리아,2020,47.3
벨기에,2000,57.1
벨기에,2001,56.7
벨기에,2002,56.3
벨기에,2003,55.7
벨기에,2004,55.4
벨기에,2005,55.5
벨기에,2006,55.5
벨기에,2007,55.6
벨기에,2008,55.9
벨기에,2009,55.7
벨기에,2010,55.9
벨기에,2011,56.1
벨기에,2012,56
벨기에,2013,55.7
벨기에,2014,55.6
벨기에,2015,55.3
벨기에,2016,53.9
벨기에,2017,53.8
벨기에,2018,52.7
벨기에,2019,52.3
벨기에,2020,51.5
체코,2000,42.6
체코,2001,42.6
체코,2002,43
체코,2003,43.2
체코,2004,43.5
체코,2005,43.7
체코,2006,42.5
체코,2007,42.9
체코,2008,43.4
체코,2009,42
체코,2010,42.1
체코,2011,42.6
체코,2012,42.5
체코,2013,42.4
체코,2014,42.6
체코,2015,42.8
체코,2016,43
체코,2017,43.4
체코,2018,43.7
체코,2019,43.9
체코,2020,43.9
덴마크,2000,41.5
덴마크,2001,40.6
덴마크,2002,40
덴마크,2003,40
덴마크,2004,38.6
덴마크,2005,38.5
덴마크,2006,38.6
덴마크,2007,38.8
덴마크,2008,38.6
덴마크,2009,37.2
덴마크,2010,35.9
덴마크,2011,36.1
덴마크,2012,36.2
덴마크,2013,35.8
덴마크,2014,35.6
덴마크,2015,35.9
덴마크,2016,35.9
덴마크,2017,35.8
덴마크,2018,35.4
덴마크,2019,35.5
덴마크,2020,35.2
에스토니아,2000,41.3
에스토니아,2001,41
에스토니아,2002,42.1
에스토니아,2003,42.3
에스토니아,2004,41.5
에스토니아,2005,39.9
에스토니아,2006,39
에스토니아,2007,39
에스토니아,2008,38.4
에스토니아,2009,39.2
에스토니아,2010,40.1
에스토니아,2011,40.3
에스토니아,2012,40.4
에스토니아,2013,39.9
에스토니아,2014,40
에스토니아,2015,39
에스토니아,2016,39
에스토니아,2017,39
에스토니아,2018,36.2
에스토니아,2019,37
에스토니아,2020,36.9
핀란드,2000,47.5
핀란드,2001,46.1
핀란드,2002,45.7
핀란드,2003,44.8
핀란드,2004,44.2
핀란드,2005,44.4
핀란드,2006,44
핀란드,2007,43.9
핀란드,2008,43.8
핀란드,2009,42.5
핀란드,2010,42.3
핀란드,2011,42.3
핀란드,2012,42.5
핀란드,2013,43.1
핀란드,2014,43.6
핀란드,2015,43.5
핀란드,2016,44.1
핀란드,2017,43
핀란드,2018,42.6
핀란드,2019,42.1
핀란드,2020,41.2
프랑스,2000,50.4
프랑스,2001,50.1
프랑스,2002,49.9
프랑스,2003,50.1
프랑스,2004,50.3
프랑스,2005,50.5
프랑스,2006,49.7
프랑스,2007,49.7
프랑스,2008,49.8
프랑스,2009,49.8
프랑스,2010,49.9
프랑스,2011,50
프랑스,2012,50.1
프랑스,2013,48.8
프랑스,2014,48.4
프랑스,2015,48.5
프랑스,2016,48
프랑스,2017,47.6
프랑스,2018,47.6
프랑스,2019,47.2
프랑스,2020,46.6
독일,2000,52.9
독일,2001,51.9
독일,2002,52.5
독일,2003,53.2
독일,2004,52.2
독일,2005,52.1
독일,2006,52.3
독일,2007,51.8
독일,2008,51.3
독일,2009,50.8
독일,2010,49
독일,2011,49.7
독일,2012,49.7
독일,2013,49.3
독일,2014,49.3
독일,2015,49.4
독일,2016,49.5
독일,2017,49.6
독일,2018,49.5
독일,2019,49.3
독일,2020,49
그리스,2000,38.7
그리스,2001,38.1
그리스,2002,39.1
그리스,2003,39.7
그리스,2004,41.1
그리스,2005,41.2
그리스,2006,42.2
그리스,2007,42
그리스,2008,41.4
그리스,2009,41.2
그리스,2010,40
그리스,2011,42.9
그리스,2012,42.8
그리스,2013,41.1
그리스,2014,40.2
그리스,2015,38.9
그리스,2016,40.3
그리스,2017,40.6
그리스,2018,41
그리스,2019,40.9
그리스,2020,40.1
헝가리,2000,54.7
헝가리,2001,55.8
헝가리,2002,53.7
헝가리,2003,50.8
헝가리,2004,51.7
헝가리,2005,51.1
헝가리,2006,51.9
헝가리,2007,54.5
헝가리,2008,54.1
헝가리,2009,53.1
헝가리,2010,46.6
헝가리,2011,49.5
헝가리,2012,49.5
헝가리,2013,49
헝가리,2014,49
헝가리,2015,49
헝가리,2016,48.2
헝가리,2017,46.2
헝가리,2018,45
헝가리,2019,44.6
헝가리,2020,43.6
아이슬란드,2000,28.8
아이슬란드,2001,29.3
아이슬란드,2002,30.9
아이슬란드,2003,31.5
아이슬란드,2004,31.9
아이슬란드,2005,32.1
아이슬란드,2006,31.8
아이슬란드,2007,30.5
아이슬란드,2008,30.9
아이슬란드,2009,30.5
아이슬란드,2010,33.4
아이슬란드,2011,34.1
아이슬란드,2012,33.8
아이슬란드,2013,34.1
아이슬란드,2014,33.9
아이슬란드,2015,34.3
아이슬란드,2016,33.9
아이슬란드,2017,32.8
아이슬란드,2018,32.9
아이슬란드,2019,32.7
아이슬란드,2020,32.3
아일랜드,2000,35.3
아일랜드,2001,31.7
아일랜드,2002,29.5
아일랜드,2003,30.4
아일랜드,2004,31
아일랜드,2005,30.3
아일랜드,2006,29.1
아일랜드,2007,28.1
아일랜드,2008,28.2
아일랜드,2009,29.8
아일랜드,2010,30.9
아일랜드,2011,32.6
아일랜드,2012,33
아일랜드,2013,33.9
아일랜드,2014,34
아일랜드,2015,33.2
아일랜드,2016,32.7
아일랜드,2017,32.6
아일랜드,2018,32.9
아일랜드,2019,33.2
아일랜드,2020,32.3
이탈리아,2000,47.1
이탈리아,2001,46.6
이탈리아,2002,46.6
이탈리아,2003,46
이탈리아,2004,46.3
이탈리아,2005,45.9
이탈리아,2006,46.1
이탈리아,2007,46.4
이탈리아,2008,46.6
이탈리아,2009,46.8
이탈리아,2010,47.2
이탈리아,2011,47.6
이탈리아,2012,47.7
이탈리아,2013,47.8
이탈리아,2014,47.8
이탈리아,2015,47.8
이탈리아,2016,47.8
이탈리아,2017,47.7
이탈리아,2018,47.7
이탈리아,2019,48
이탈리아,2020,46
라트비아,2000,43.2
라트비아,2001,43
라트비아,2002,43.1
라트비아,2003,42.7
라트비아,2004,42.8
라트비아,2005,43.1
라트비아,2006,42.7
라트비아,2007,42.2
라트비아,2008,41.3
라트비아,2009,40.9
라트비아,2010,44
라트비아,2011,44.2
라트비아,2012,44.3
라트비아,2013,43.7
라트비아,2014,43
라트비아,2015,42.5
라트비아,2016,42.5
라트비아,2017,42.7
라트비아,2018,42.6
라트비아,2019,42.5
라트비아,2020,41.8
리투아니아,2000,45.7
리투아니아,2001,45.7
리투아니아,2002,45.2
리투아니아,2003,44.3
리투아니아,2004,44.8
리투아니아,2005,45.4
리투아니아,2006,44.4
리투아니아,2007,43
리투아니아,2008,41.6
리투아니아,2009,40.7
리투아니아,2010,40.6
리투아니아,2011,40.7
리투아니아,2012,40.9
리투아니아,2013,41.1
리투아니아,2014,41
리투아니아,2015,41.2
리투아니아,2016,41.3
리투아니아,2017,41.1
리투아니아,2018,40.7
리투아니아,2019,37.7
리투아니아,2020,36.9
룩셈부르크,2000,35.8
룩셈부르크,2001,34.5
룩셈부르크,2002,31.6
룩셈부르크,2003,32.1
룩셈부르크,2004,32.5
룩셈부르크,2005,33.4
룩셈부르크,2006,34
룩셈부르크,2007,35
룩셈부르크,2008,34.7
룩셈부르크,2009,34.9
룩셈부르크,2010,35.3
룩셈부르크,2011,37.3
룩셈부르크,2012,37.1
룩셈부르크,2013,38.2
룩셈부르크,2014,38.6
룩셈부르크,2015,39.5
룩셈부르크,2016,39.6
룩셈부르크,2017,37.8
룩셈부르크,2018,38.2
룩셈부르크,2019,38.5
룩셈부르크,2020,37.5
네덜란드,2000,40
네덜란드,2001,37.4
네덜란드,2002,37.4
네덜란드,2003,37.2
네덜란드,2004,38.8
네덜란드,2005,38.9
네덜란드,2006,38.4
네덜란드,2007,38.7
네덜란드,2008,39.2
네덜란드,2009,38
네덜란드,2010,38.1
네덜란드,2011,38
네덜란드,2012,38.6
네덜란드,2013,40.6
네덜란드,2014,39
네덜란드,2015,37
네덜란드,2016,37.2
네덜란드,2017,37.4
네덜란드,2018,37.8
네덜란드,2019,37
네덜란드,2020,36.4
노르웨이,2000,38.6
노르웨이,2001,39.2
노르웨이,2002,38.6
노르웨이,2003,38.1
노르웨이,2004,38.1
노르웨이,2005,37.2
노르웨이,2006,37.4
노르웨이,2007,37.5
노르웨이,2008,37.6
노르웨이,2009,37.3
노르웨이,2010,37.3
노르웨이,2011,37.6
노르웨이,2012,37.4
노르웨이,2013,37.4
노르웨이,2014,36.9
노르웨이,2015,36.7
노르웨이,2016,36.3
노르웨이,2017,36
노르웨이,2018,35.8
노르웨이,2019,35.8
노르웨이,2020,35.8
폴란드,2000,38.2
폴란드,2001,38
폴란드,2002,38
폴란드,2003,38.2
폴란드,2004,38.4
폴란드,2005,38.7
폴란드,2006,39
폴란드,2007,38.2
폴란드,2008,34.7
폴란드,2009,34.1
폴란드,2010,34.2
폴란드,2011,34.3
폴란드,2012,35.5
폴란드,2013,35.6
폴란드,2014,35.7
폴란드,2015,35.7
폴란드,2016,35.6
폴란드,2017,35.7
폴란드,2018,35.8
폴란드,2019,35.6
폴란드,2020,34.8
포르투갈,2000,37.3
포르투갈,2001,36.4
포르투갈,2002,37.6
포르투갈,2003,37.4
포르투갈,2004,37.4
포르투갈,2005,36.8
포르투갈,2006,37.5
포르투갈,2007,37.3
포르투갈,2008,36.9
포르투갈,2009,36.5
포르투갈,2010,37.1
포르투갈,2011,38
포르투갈,2012,37.6
포르투갈,2013,41.4
포르투갈,2014,41.1
포르투갈,2015,42.1
포르투갈,2016,41.5
포르투갈,2017,41.4
포르투갈,2018,40.9
포르투갈,2019,41.2
포르투갈,2020,41.3
슬로바키아,2000,42.1
슬로바키아,2001,42.9
슬로바키아,2002,42.5
슬로바키아,2003,42.9
슬로바키아,2004,42.5
슬로바키아,2005,38.4
슬로바키아,2006,38.6
슬로바키아,2007,38.6
슬로바키아,2008,39
슬로바키아,2009,37.9
슬로바키아,2010,38.1
슬로바키아,2011,39
슬로바키아,2012,39.8
슬로바키아,2013,41.3
슬로바키아,2014,41.4
슬로바키아,2015,41.5
슬로바키아,2016,41.7
슬로바키아,2017,41.7
슬로바키아,2018,41.9
슬로바키아,2019,41.9
슬로바키아,2020,41.2
슬로베니아,2000,46.3
슬로베니아,2001,46.2
슬로베니아,2002,46.1
슬로베니아,2003,46.2
슬로베니아,2004,46.3
슬로베니아,2005,45.6
슬로베니아,2006,45.3
슬로베니아,2007,43.3
슬로베니아,2008,42.9
슬로베니아,2009,42.2
슬로베니아,2010,42.5
슬로베니아,2011,42.6
슬로베니아,2012,42.5
슬로베니아,2013,42.4
슬로베니아,2014,42.5
슬로베니아,2015,42.6
슬로베니아,2016,42.7
슬로베니아,2017,42.9
슬로베니아,2018,43.2
슬로베니아,2019,43.5
슬로베니아,2020,42.9
스페인,2000,38.6
스페인,2001,38.9
스페인,2002,39.1
스페인,2003,38.6
스페인,2004,38.8
스페인,2005,39
스페인,2006,39.1
스페인,2007,39
스페인,2008,38
스페인,2009,38.3
스페인,2010,39.7
스페인,2011,40
스페인,2012,40.6
스페인,2013,40.7
스페인,2014,40.7
스페인,2015,39.4
스페인,2016,39.4
스페인,2017,39.3
스페인,2018,39.4
스페인,2019,39.4
스페인,2020,39.3
스웨덴,2000,50.1
스웨덴,2001,49.1
스웨덴,2002,47.8
스웨덴,2003,48.2
스웨덴,2004,48.4
스웨덴,2005,48.1
스웨덴,2006,47.8
스웨덴,2007,45.3
스웨덴,2008,44.8
스웨덴,2009,43.2
스웨덴,2010,42.8
스웨덴,2011,42.8
스웨덴,2012,42.9
스웨덴,2013,43
스웨덴,2014,42.5
스웨덴,2015,42.6
스웨덴,2016,42.8
스웨덴,2017,42.9
스웨덴,2018,43
스웨덴,2019,42.6
스웨덴,2020,42.7
스위스,2000,22.9
스위스,2001,22.9
스위스,2002,22.9
스위스,2003,22.4
스위스,2004,22.2
스위스,2005,22.2
스위스,2006,22.1
스위스,2007,22.4
스위스,2008,21.9
스위스,2009,21.9
스위스,2010,22.1
스위스,2011,22.3
스위스,2012,22.1
스위스,2013,22.2
스위스,2014,21.9
스위스,2015,21.9
스위스,2016,22.1
스위스,2017,22.1
스위스,2018,22.2
스위스,2019,22.3
스위스,2020,22.1
영국,2000,32.6
영국,2001,32.2
영국,2002,32.3
영국,2003,33.8
영국,2004,33.9
영국,2005,33.9
영국,2006,34
영국,2007,34.1
영국,2008,32.8
영국,2009,32.4
영국,2010,32.6
영국,2011,32.5
영국,2012,32.1
영국,2013,31.4
영국,2014,31
영국,2015,30.8
영국,2016,30.9
영국,2017,31
영국,2018,31
영국,2019,30.9
영국,2020,30.8
오세아니아,2000,
오세아니아,2001,
오세아니아,2002,
오세아니아,2003,
오세아니아,2004,
오세아니아,2005,
오세아니아,2006,
오세아니아,2007,
오세아니아,2008,
오세아니아,2009,
오세아니아,2010,
오세아니아,2011,
오세아니아,2012,
오세아니아,2013,
오세아니아,2014,
오세아니아,2015,
오세아니아,2016,
오세아니아,2017,
오세아니아,2018,
오세아니아,2019,
오세아니아,2020,
오스트레일리아,2000,31
오스트레일리아,2001,27.6
오스트레일리아,2002,28
오스트레일리아,2003,28.2
오스트레일리아,2004,28.2
오스트레일리아,2005,28.5
오스트레일리아,2006,28.3
오스트레일리아,2007,27.7
오스트레일리아,2008,26.9
오스트레일리아,2009,26.7
오스트레일리아,2010,26.8
오스트레일리아,2011,26.7
오스트레일리아,2012,27.3
오스트레일리아,2013,27.4
오스트레일리아,2014,27.7
오스트레일리아,2015,28.3
오스트레일리아,2016,28.6
오스트레일리아,2017,28.6
오스트레일리아,2018,28.9
오스트레일리아,2019,27.9
오스트레일리아,2020,28.4
뉴질랜드,2000,19.4
뉴질랜드,2001,19.4
뉴질랜드,2002,19.4
뉴질랜드,2003,19.5
뉴질랜드,2004,19.7
뉴질랜드,2005,20
뉴질랜드,2006,20.4
뉴질랜드,2007,21.1
뉴질랜드,2008,20.5
뉴질랜드,2009,18.1
뉴질랜드,2010,17
뉴질랜드,2011,15.9
뉴질랜드,2012,16.4
뉴질랜드,2013,16.9
뉴질랜드,2014,17.2
뉴질랜드,2015,17.6
뉴질랜드,2016,17.9
뉴질랜드,2017,18.1
뉴질랜드,2018,18.4
뉴질랜드,2019,18.8
뉴질랜드,2020,19.1
